row_class,col1_text,col1_class,col1_style,col2_text,col2_class,col2_style,col3_text,col3_class,col3_style,col4_text,col4_class,col4_style
depth-0,Tanz,,,Tanz,new,padding-left:0px,DanceTheatre,,,https://odta.io/voc/DanceShow,,
depth-0,Theater,,,Theater,new,padding-left:0px,,,,TheaterEvent,,
depth-0 topcat,,,,Tradition/Brauchtum,,padding-left:0px,,,,Event,,
depth-1,Handwerk,,,Handwerk,new,padding-left:12px,ArtsAndCraftsFair,,,https://odta.io/voc/ArtsAndCraftsFair,,
depth-1,Ostern,,,Ostern,new,padding-left:12px,,,,Event,,
depth-1,,,,Regionale Spezialitäten,,padding-left:12px,,,,Event,,
depth-1,,,,"Tradition, Brauchtum & Kultur",new,padding-left:12px,,,,Event,,
depth-1,Weihnachten,,,Weihnachten,new,padding-left:12px,,,,Event,,
depth-2,,,,Weihnachtsveranstaltung,,padding-left:24px,Christmas,,,Event,,
depth-2,Weihnachtsmarkt,,,Weihnachtsmarkt,new,padding-left:24px,ChristmasMarket,,,https://odta.io/voc/ChristmasMarket,,
depth-0,Traditioneller Tanz,,,Traditioneller Tanz,new,padding-left:0px,Dancing,,,https://odta.io/voc/Dancing,,
depth-0,Varieté  Revue,,,Varieté & Revue,new,padding-left:0px,VarietyShow,,,https://odta.io/voc/VarietyShow,,
depth-0,Verkaufsoffener Sonntag,,,Verkaufsoffener Sonntag,new,padding-left:0px,,,,Event,,
depth-0,,,,Volksfest,,padding-left:0px,Funfair,,,https://odta.io/voc/Funfair,,
depth-0,Volkstheater,,,Volkstheater,new,padding-left:0px,,,,Event,,
depth-0,Vortrag,,,Vortrag,new,padding-left:0px,,,,Event,,
depth-0,Lesung,,,Vortrag/Lesung/Diskussion,,padding-left:0px,,,,Event,,
depth-0,,,,Winter,new,padding-left:0px,,,,Event,,
depth-0,Zirkus,,,Zirkus,new,padding-left:0px,,,,Event,,
